0|0|w
500|0|w
1000|0|3
1500|0|r
2000|0|r
2500|0|3
3000|0|w
4000|0|j
3500|0|q
4500|0|j
5000|0|,
5500|0|w
6000|0|w
7000|0|q
6750|0|q
8000|0|w
8500|0|w
9000|0|3
9500|0|r
10000|0|r
10500|0|3
11000|0|w
11500|0|q
12500|0|j
12000|0|j
13500|0|w
13000|0|q
14000|0|q
15000|0|j
14750|0|j
16000|0|q
16500|0|q
17000|0|w
17500|0|j
18000|0|q
18500|0|w
18750|0|3
19000|0|w
19500|0|j
20000|0|q
20500|0|w
20750|0|3
21000|0|w
21500|0|q
22000|0|j
22500|0|q
23000|0|v
24000|0|w
24500|0|w
25000|0|3
26500|0|3
27000|0|w
27500|0|q
25500|0|r
26000|0|r
28000|0|j
28500|0|j
29000|0|q
29500|0|w
30000|0|q
30750|0|j
31000|0|j
